Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round,Has_P
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",OPEN,,3323,4880,2016,6,FALSE
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",OPEN (PwD),,49,49,2016,6,FALSE
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",OBC-NCL,,1753,2596,2016,6,FALSE
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",SC,,261,1743,2016,6,FALSE
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",ST,,661,697,2016,6,FALSE
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,,897,2251,2016,6,FALSE
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),,19,50,2016,6,FALSE
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,356,1007,2016,6,FALSE
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),,21,21,2016,6,FALSE
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",SC,,217,441,2016,6,FALSE
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",ST,,57,108,2016,6,FALSE
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,,1,60,2016,6,FALSE
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),,2,3,2016,6,FALSE
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,8,44,2016,6,FALSE
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),,1,1,2016,6,FALSE
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,,2,26,2016,6,FALSE
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,,1,15,2016,6,FALSE
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,,22,227,2016,6,FALSE
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),,9,9,2016,6,FALSE
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,,64,162,2016,6,FALSE
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,,18,81,2016,6,FALSE
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",SC (PwD),,1,1,2016,6,FALSE
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,,20,45,2016,6,FALSE
Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,,249,583,2016,6,FALSE
Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN (PwD),,24,24,2016,6,FALSE
